daten,greek_rate,us_cpi,vn_cpi,usd_per_vnb
1/1/1985,20,54.03728405,0.217189402,133.3333333
2/1/1985,20,54.25951901,0.216388703,133.3333333
3/1/1985,20,54.49884896,0.217189402,133.3333333
4/1/1985,20,54.72108391,0.22019202,133.3333333
5/1/1985,20,54.92622387,0.219791671,133.3333333
6/1/1985,20,55.09717384,0.220992718,133.3333333
7/1/1985,20,55.18264882,0.222594115,133.3333333
8/1/1985,20,55.3023138,0.222994464,133.3333333
9/1/1985,20,55.47326376,0.224796035,133.3333333
10/1/1985,20,55.64421373,0.227598479,133.3333333
11/1/1985,20,55.83225869,0.231401796,133.3333333
12/1/1985,20,55.96901866,0.234604589,133.3333333
1/1/1986,20,56.13996863,0.238808255,133.3333333
2/1/1986,20,55.98611366,0.241010175,133.3333333
3/1/1986,20,55.72968871,0.239208604,133.3333333
4/1/1986,20,55.61002373,0.239408778,133.3333333
5/1/1986,20,55.7809737,0.242611571,133.3333333
6/1/1986,20,56.05449364,0.246615063,133.3333333
7/1/1986,20,56.07158864,0.249017157,133.3333333
8/1/1986,20,56.17415862,0.251219077,133.3333333
9/1/1986,20,56.44767856,0.252620299,133.3333333
10/1/1986,20,56.49896355,0.258025013,133.3333333
11/1/1986,20,56.55024854,0.261628155,133.3333333
12/1/1986,20,56.60153353,0.264430599,68.96551724
1/1/1987,20,56.94343346,0.269434963,68.96551724
2/1/1987,20,57.16566842,0.276240898,68.96551724
3/1/1987,20,57.42209337,0.282646484,68.96551724
4/1/1987,20,57.7298033,0.290653467,68.96551724
5/1/1987,20,57.90075327,0.303064289,68.96551724
6/1/1987,20,58.14008322,0.316075636,68.96551724
7/1/1987,20.75,58.2597482,0.332890299,68.96551724
8/1/1987,20.75,58.58455313,0.335292394,68.96551724
9/1/1987,20.75,58.87516807,0.340096584,68.96551724
10/1/1987,20.75,59.02902304,0.348503915,68.96551724
11/1/1987,20.75,59.11449802,0.358512644,68.96551724
12/1/1987,21.1,59.09110305,0.370923467,68.96551724
1/1/1988,21.1,59.24471944,0.372524863,68.96551724
2/1/1988,21.1,59.39833582,0.365318579,68.96551724
3/1/1988,21.1,59.65436313,0.36491823,68.96551724
4/1/1988,21.05,59.9615959,0.372324689,68.96551724
5/1/1988,21.1,60.16641775,0.377529227,68.96551724
6/1/1988,21.1,60.42244506,0.396345636,68.96551724
7/1/1988,21.52,60.67847237,0.416563267,68.96551724
8/1/1988,21.42,60.93449968,0.426371821,68.96551724
9/1/1988,21.52,61.34414338,0.433578105,68.96551724
10/1/1988,21.32,61.54896522,0.452594689,68.96551724
11/1/1988,21.42,61.60017068,0.470610399,68.96551724
12/1/1988,21.32,61.70258161,0.50263833,68.96551724
1/1/1989,20.72,62.00981438,0.508243217,68.96551724
2/1/1989,20.82,62.26584169,0.524257182,68.96551724
3/1/1989,20.62,62.62427992,0.635754414,28.01120448
4/1/1989,20.52,63.03392362,0.721629302,26.73796791
5/1/1989,20.62,63.39236185,0.767469277,26.59574468
6/1/1989,21.52,63.54597824,0.792090749,26.45502646
7/1/1989,21.82,63.69959462,0.811707856,27.02702703
8/1/1989,22.22,63.80200555,0.829323218,26.45502646
9/1/1989,22.72,64.00682739,0.856546958,26.31578947
10/1/1989,22.92,64.31406017,0.882369477,25.44529262
11/1/1989,22.92,64.46767655,0.894179776,23.20185615
12/1/1989,24.02,64.57008748,0.909793392,22.93577982
1/1/1990,24.02,65.23575848,0.93121207,23.04147465
2/1/1990,23.92,65.54299125,0.949227781,23.36448598
3/1/1990,23.92,65.90142949,0.966042445,23.14814815
4/1/1990,24.72,66.00384041,0.99126444,22.32142857
5/1/1990,25.12,66.1574568,1.015885911,21.69197397
6/1/1990,25.12,66.51589503,1.044310699,21.73913043
7/1/1990,26.32,66.77192234,1.084946135,20.32520325
8/1/1990,28.02,67.38638788,1.119175986,20.40816327
9/1/1990,28.12,67.94964796,1.136390998,20.5338809
10/1/1990,28.12,68.35929166,1.166417183,20.40816327
11/1/1990,28.12,68.51290804,1.20004651,19.96007984
12/1/1990,28.12,68.51290804,1.241682819,19.84126984
1/1/1991,28.02,68.92255174,1.270507956,19.49317739
2/1/1991,28.12,69.02496266,1.292527158,18.62197393
3/1/1991,28.12,69.12737359,1.314746535,18.48428835
4/1/1991,28.22,69.22978451,1.35137848,18.34862385
5/1/1991,28.22,69.43460636,1.38340641,18.14882033
6/1/1991,28.12,69.63942821,1.409228929,18.05054152
7/1/1991,28.12,69.74183913,1.453467507,17.24137931
8/1/1991,28.12,69.94666098,1.487297008,16.86340641
9/1/1991,28.12,70.25389375,1.515121273,16.86340641
10/1/1991,28.02,70.35630467,1.54835025,16.66666667
11/1/1991,27.82,70.56112652,1.587984814,16.61129568
12/1/1991,27.82,70.61233198,1.626818679,16.39344262
1/1/1992,27.62,70.71474291,1.647636834,16.15508885
2/1/1992,27.42,70.97077022,1.69087454,15.625
3/1/1992,27.42,71.32920845,1.728307183,15.29051988
4/1/1992,27.42,71.43161937,1.76634035,15.40832049
5/1/1992,27.32,71.5340303,1.811179453,15.31393568
6/1/1992,27.32,71.79005761,1.859621697,15.19756839
7/1/1992,27.12,71.94367399,1.913468655,15.03759398
8/1/1992,27.12,72.14849584,1.95710671,14.77104874
9/1/1992,27.22,72.35331769,1.997341797,14.5137881
10/1/1992,27.22,72.609345,2.044983343,13.53179973
11/1/1992,27.42,72.71175592,2.096428206,12.91989664
12/1/1992,27.32,72.66055046,2.145070625,12.67427123
1/1/1993,27.42,73.01898869,2.208726136,12.46882793
2/1/1993,27.52,73.275016,2.266576585,12.21001221
3/1/1993,27.52,73.53104331,2.318621972,11.91895113
4/1/1993,27.32,73.73586516,2.384479403,11.72332943
5/1/1993,27.32,73.83827608,2.450537009,11.49425287
6/1/1993,27.32,73.94068701,2.527804391,11.41552511
7/1/1993,26.92,73.94068701,2.606472994,11.00110011
8/1/1993,26.92,74.14550885,2.688144216,10.72961373
9/1/1993,26.92,74.29912524,2.777221897,10.42752868
10/1/1993,27.02,74.60635801,2.915342346,10.18329939
11/1/1993,26.92,74.65756347,3.021635039,9.823182711
12/1/1993,27.02,74.65756347,3.130530002,9.596928983
1/1/1994,25.32,74.86238532,3.265047309,9.35453695
2/1/1994,25.42,75.11841263,3.3265009,9.124087591
3/1/1994,25.62,75.37443994,3.420182596,8.865248227
4/1/1994,25.42,75.47685086,3.532080177,8.613264427
5/1/1994,27.32,75.52805633,3.715039728,7.342143906
6/1/1994,27.92,75.78408364,4.050932646,6.531678641
7/1/1994,26.82,75.98890548,4.307356262,5.580357143
8/1/1994,26.42,76.29613825,4.532752821,5.896226415
9/1/1994,26.02,76.5009601,4.713510452,5.903187721
10/1/1994,25.82,76.55216556,4.953719929,5.899705015
11/1/1994,25.62,76.65457649,5.165504617,5.885815185
12/1/1994,25.02,76.65457649,5.348063819,5.882352941
1/1/1995,24.22,76.96180926,5.516010278,5.882352941
2/1/1995,24.22,77.26904203,5.646323919,5.882352941
3/1/1995,23.92,77.52506934,5.828482772,5.882352941
4/1/1995,22.52,77.78109665,6.064688757,5.882352941
5/1/1995,22.12,77.93471304,6.35914554,5.882352941
6/1/1995,21.72,78.08832942,6.530494967,5.882352941
7/1/1995,20.52,78.08832942,6.710852249,5.882352941
8/1/1995,20.42,78.29315127,6.920435017,5.882352941
9/1/1995,20.32,78.44676766,7.152036987,5.882352941
10/1/1995,20.22,78.70279496,7.483125716,5.882352941
11/1/1995,20.12,78.6515895,7.90089003,5.882352941
12/1/1995,19.72,78.60038404,8.37590427,3.966679889
1/1/1996,20.02,79.0612332,9.055496914,3.463803256
2/1/1996,19.82,79.31726051,9.777526565,3.453038674
3/1/1996,19.82,79.7269042,10.38225392,3.449465333
4/1/1996,19.82,80.03413697,11.26882706,2.773925104
5/1/1996,19.82,80.18775336,12.68766437,2.132650885
6/1/1996,19.82,80.23895882,13.59185288,2.121790791
7/1/1996,19.82,80.39257521,14.26944378,2.12404418
8/1/1996,19.72,80.54619159,14.85675595,2.108814846
9/1/1996,19.22,80.8022189,15.38962063,2.100399076
10/1/1996,19.12,81.05824621,16.04279024,2.119093028
11/1/1996,19.12,81.2118626,16.53221704,2.120441052
